codigo_produto,categoria,custo_unitario,preco_venda,unidades_vendidas_90d,estoque_atual
PROD-84732,Alimentos e Bebidas,115.51,211.23,124,156.0
PROD-84733,Alimentos e Bebidas,74.11,158.59,307,36.0
PROD-84734,Vestuário,187.01,289.99,83,140.0
PROD-84735,Alimentos e Bebidas,192.18,332.08,184,83.0
PROD-84736,Vestuário,133.37,230.47,10,35.0
PROD-84737,Utilidades Domésticas,53.03,78.5,32,75.0
PROD-84738,Vestuário,247.68,523.42,757,44.0
PROD-84739,Vestuário,137.02,255.76,215,228.0
PROD-84740,Utilidades Domésticas,126.86,217.72,23,26.0
PROD-84741,Alimentos e Bebidas,76.1,164.53,76,137.0
PROD-84742,Eletrônicos,59.86,79.64,108,265.0
PROD-84743,Vestuário,32.57,43.76,99,253.0
PROD-84744,Utilidades Domésticas,81.99,142.63,373,220.0
PROD-84745,Vestuário,113.9,164.18,394,86.0
PROD-84746,Vestuário,30.33,60.86,485,220.0
PROD-84747,Alimentos e Bebidas,232.18,338.3,17,60.0
PROD-84748,Vestuário,180.16,380.7,267,83.0
PROD-84749,Vestuário,130.04,198.55,14,248.0
PROD-84750,Vestuário,163.74,303.82,29,233.0
PROD-84751,Vestuário,283.03,585.08,89,37.0
PROD-84752,Alimentos e Bebidas,211.88,331.81,144,33.0
PROD-84753,Alimentos e Bebidas,183.28,388.32,91,72.0
PROD-84754,Alimentos e Bebidas,228.45,340.0,13,186.0
PROD-84755,Alimentos e Bebidas,10.89,22.63,52,184.0
PROD-84756,Alimentos e Bebidas,161.25,230.93,90,75.0
PROD-84757,Alimentos e Bebidas,61.08,87.13,24,144.0
PROD-84758,Alimentos e Bebidas,175.13,302.49,492,156.0
PROD-84759,Vestuário,222.61,324.95,109,205.0
PROD-84760,Utilidades Domésticas,124.01,224.43,97,22.0
PROD-84761,Alimentos e Bebidas,65.64,104.93,244,234.0
PROD-84762,Beleza e Perfumaria,21.2,30.98,59,15.0
PROD-84763,Vestuário,57.99,107.09,552,252.0
PROD-84764,Vestuário,81.43,156.58,250,183.0
PROD-84765,Beleza e Perfumaria,178.28,282.54,45,244.0
PROD-84766,Utilidades Domésticas,221.29,331.96,154,77.0
PROD-84767,Alimentos e Bebidas,206.24,273.37,12,144.0
PROD-84768,Utilidades Domésticas,100.9,176.32,59,90.0
PROD-84769,Vestuário,112.6,185.61,67,254.0
PROD-84770,Utilidades Domésticas,259.69,484.45,322,97.0
PROD-84771,Vestuário,120.86,227.97,100,128.0
PROD-84772,Beleza e Perfumaria,199.68,306.96,270,5.0
PROD-84773,Alimentos e Bebidas,114.16,192.3,116,185.0
PROD-84774,Eletrônicos,288.48,543.06,70,8.0
PROD-84775,Utilidades Domésticas,150.09,299.46,214,230.0
PROD-84776,Utilidades Domésticas,181.13,347.41,55,89.0
PROD-84777,Utilidades Domésticas,176.98,374.16,191,146.0
PROD-84778,Alimentos e Bebidas,254.24,370.64,257,69.0
PROD-84779,Beleza e Perfumaria,39.5,78.16,90,28.0
PROD-84780,Alimentos e Bebidas,289.51,584.83,88,227.0
PROD-84781,Utilidades Domésticas,72.27,149.15,132,274.0
PROD-84782,Alimentos e Bebidas,90.85,133.2,305,55.0
PROD-84783,Utilidades Domésticas,174.68,307.27,70,193.0
PROD-84784,Beleza e Perfumaria,39.97,82.36,54,24.0
PROD-84785,Vestuário,199.54,290.68,206,178.0
PROD-84786,Utilidades Domésticas,186.84,388.42,7,187.0
PROD-84787,Eletrônicos,144.87,222.0,281,238.0
PROD-84788,Alimentos e Bebidas,186.86,375.91,445,130.0
PROD-84789,Vestuário,18.46,24.57,59,12.0
PROD-84790,Utilidades Domésticas,254.46,349.18,49,234.0
PROD-84791,Vestuário,204.83,302.74,481,157.0
PROD-84792,Vestuário,218.77,320.74,630,63.0
PROD-84793,Beleza e Perfumaria,50.25,88.57,14,258.0
PROD-84794,Vestuário,107.96,208.19,118,112.0
PROD-84795,Alimentos e Bebidas,120.34,258.0,338,220.0
PROD-84796,Utilidades Domésticas,190.46,359.55,10,237.0
PROD-84797,Vestuário,35.46,72.91,468,292.0
PROD-84798,Eletrônicos,215.41,344.82,342,243.0
PROD-84799,Utilidades Domésticas,122.12,209.24,27,160.0
PROD-84800,Alimentos e Bebidas,62.6,92.75,133,156.0
PROD-84801,Vestuário,140.49,234.34,118,249.0
PROD-84802,Vestuário,8.98,18.16,109,144.0
PROD-84803,Utilidades Domésticas,26.14,39.63,253,150.0
PROD-84804,Alimentos e Bebidas,167.12,228.79,83,194.0
PROD-84805,Utilidades Domésticas,56.16,107.62,171,169.0
PROD-84806,Alimentos e Bebidas,148.36,234.64,92,276.0
PROD-84807,Utilidades Domésticas,114.36,176.63,134,200.0
PROD-84808,Utilidades Domésticas,227.86,381.27,131,164.0
PROD-84809,Vestuário,286.39,538.88,145,17.0
PROD-84810,Beleza e Perfumaria,198.32,299.27,140,289.0
PROD-84811,Alimentos e Bebidas,266.6,512.6,86,38.0
PROD-84812,Vestuário,263.65,547.85,351,23.0
PROD-84813,Vestuário,68.53,119.91,104,58.0
PROD-84814,Utilidades Domésticas,198.58,407.33,8,31.0
PROD-84815,Vestuário,187.73,295.43,24,219.0
PROD-84816,Vestuário,75.75,133.48,58,244.0
PROD-84817,Alimentos e Bebidas,74.64,134.5,236,294.0
PROD-84818,Utilidades Domésticas,166.19,248.89,72,24.0
PROD-84819,Eletrônicos,156.11,272.3,87,11.0
PROD-84820,Vestuário,271.26,578.5,78,272.0
PROD-84821,Utilidades Domésticas,279.48,463.46,99,180.0
PROD-84822,Beleza e Perfumaria,136.28,182.45,40,144.0
PROD-84823,Eletrônicos,158.72,210.57,45,231.0
PROD-84824,Alimentos e Bebidas,150.25,195.66,55,295.0
PROD-84825,Alimentos e Bebidas,123.85,163.74,94,210.0
PROD-84826,Alimentos e Bebidas,135.03,176.55,90,148.0
PROD-84827,Vestuário,252.06,379.12,123,271.0
PROD-84828,Utilidades Domésticas,218.44,296.86,23,213.0
PROD-84829,Vestuário,232.11,344.58,128,204.0
PROD-84830,Vestuário,175.04,241.19,733,169.0
PROD-84831,Utilidades Domésticas,166.6,310.19,37,99.0
PROD-84832,Vestuário,138.7,218.29,82,170.0
PROD-84833,Vestuário,82.64,166.51,136,193.0
PROD-84834,Vestuário,83.92,179.54,202,29.0
PROD-84835,Vestuário,237.74,321.41,262,229.0
PROD-84836,Utilidades Domésticas,216.0,289.26,62,58.0
PROD-84837,Vestuário,264.15,505.45,88,179.0
PROD-84838,Utilidades Domésticas,218.06,312.57,292,117.0
PROD-84839,Vestuário,93.14,194.31,115,274.0
PROD-84840,Vestuário,71.88,137.62,60,81.0
PROD-84841,Vestuário,89.44,153.21,5,54.0
PROD-84842,Beleza e Perfumaria,54.54,81.43,272,298.0
PROD-84843,Beleza e Perfumaria,180.76,306.42,113,50.0
PROD-84844,Eletrônicos,112.73,230.93,156,280.0
PROD-84845,Vestuário,248.74,453.87,95,225.0
PROD-84846,Vestuário,24.95,41.86,47,245.0
PROD-84847,Vestuário,139.36,181.82,13,246.0
PROD-84848,Vestuário,275.14,411.8,217,128.0
PROD-84849,Utilidades Domésticas,106.62,150.3,43,234.0
PROD-84850,Eletrônicos,68.75,118.53,51,236.0
PROD-84851,Alimentos e Bebidas,157.81,286.92,200,184.0
PROD-84852,Vestuário,63.25,94.87,211,284.0
PROD-84853,Alimentos e Bebidas,208.08,285.7,57,294.0
PROD-84854,Alimentos e Bebidas,279.58,604.27,63,134.0
PROD-84855,Utilidades Domésticas,194.64,290.57,77,60.0
PROD-84856,Utilidades Domésticas,18.35,31.35,239,286.0
PROD-84857,Utilidades Domésticas,115.75,160.28,142,75.0
PROD-84858,Utilidades Domésticas,45.13,89.3,377,32.0
PROD-84859,Alimentos e Bebidas,176.03,344.49,234,119.0
PROD-84860,Eletrônicos,7.45,12.78,173,119.0
PROD-84861,Beleza e Perfumaria,146.96,191.81,7,85.0
PROD-84862,Alimentos e Bebidas,106.53,165.18,195,119.0
PROD-84863,Alimentos e Bebidas,108.37,214.71,101,154.0
PROD-84864,Vestuário,176.88,306.33,117,233.0
PROD-84865,Alimentos e Bebidas,75.92,125.13,161,62.0
PROD-84866,Beleza e Perfumaria,245.61,518.34,351,43.0
PROD-84867,Vestuário,131.81,183.32,51,134.0
PROD-84868,Utilidades Domésticas,142.23,208.03,112,47.0
PROD-84869,Vestuário,237.29,511.53,118,136.0
PROD-84870,Alimentos e Bebidas,73.26,114.16,204,188.0
PROD-84871,Vestuário,25.69,40.58,15,124.0
PROD-84872,Alimentos e Bebidas,236.66,432.37,77,68.0
PROD-84873,Alimentos e Bebidas,86.94,170.85,299,146.0
PROD-84874,Eletrônicos,123.24,175.95,18,235.0
PROD-84875,Vestuário,241.21,344.27,33,16.0
PROD-84876,Eletrônicos,263.78,512.35,186,86.0
PROD-84877,Alimentos e Bebidas,100.54,215.15,219,206.0
PROD-84878,Beleza e Perfumaria,286.13,446.68,50,24.0
PROD-84879,Vestuário,150.63,213.26,131,166.0
PROD-84880,Alimentos e Bebidas,262.36,548.38,131,138.0
PROD-84881,Eletrônicos,289.89,499.59,22,106.0
PROD-84882,Vestuário,64.84,117.53,94,144.0
PROD-84883,Vestuário,252.26,358.18,114,85.0
PROD-84884,Alimentos e Bebidas,123.11,238.55,37,106.0
PROD-84885,Utilidades Domésticas,201.86,345.52,20,66.0
PROD-84886,Alimentos e Bebidas,219.7,395.88,49,69.0
PROD-84887,Eletrônicos,85.05,142.76,59,178.0
PROD-84888,Vestuário,46.33,61.19,27,116.0
PROD-84889,Eletrônicos,175.17,378.82,220,36.0
PROD-84890,Beleza e Perfumaria,294.97,428.69,60,3.0
PROD-84891,Eletrônicos,58.2,103.36,22,297.0
PROD-84892,Eletrônicos,57.41,110.24,363,94.0
PROD-84893,Vestuário,68.55,112.34,202,229.0
PROD-84894,Alimentos e Bebidas,135.68,209.33,60,105.0
PROD-84895,Vestuário,166.67,315.85,76,29.0
PROD-84896,Eletrônicos,165.41,354.55,230,247.0
PROD-84897,Utilidades Domésticas,193.69,256.73,47,66.0
PROD-84898,Utilidades Domésticas,65.6,96.91,35,
PROD-84899,Vestuário,93.08,126.94,13,185.0
PROD-84900,Alimentos e Bebidas,62.34,108.05,239,144.0
PROD-84901,Vestuário,174.61,300.19,166,292.0
PROD-84902,Alimentos e Bebidas,7.54,11.35,184,201.0
PROD-84903,Utilidades Domésticas,281.21,580.66,19,112.0
PROD-84904,Eletrônicos,226.38,349.46,81,94.0
PROD-84905,Utilidades Domésticas,81.43,138.69,277,19.0
PROD-84906,Utilidades Domésticas,5.45,8.1,17,37.0
PROD-84907,Beleza e Perfumaria,153.27,270.91,320,133.0
PROD-84908,Alimentos e Bebidas,166.8,315.07,370,258.0
PROD-84909,Vestuário,6.09,12.88,57,42.0
PROD-84910,Vestuário,193.36,270.61,65,151.0
PROD-84911,Alimentos e Bebidas,115.31,217.97,513,53.0
PROD-84912,Eletrônicos,39.94,75.89,208,92.0
PROD-84913,Vestuário,105.17,184.07,150,83.0
PROD-84914,Utilidades Domésticas,112.23,226.4,69,145.0
PROD-84915,Alimentos e Bebidas,134.94,224.68,83,18.0
PROD-84916,Eletrônicos,246.14,528.09,276,142.0
PROD-84917,Alimentos e Bebidas,112.03,199.7,430,230.0
PROD-84918,Alimentos e Bebidas,40.02,68.22,188,292.0
PROD-84919,Utilidades Domésticas,277.55,448.44,110,5.0
PROD-84920,Eletrônicos,92.99,128.17,269,123.0
PROD-84921,Vestuário,131.21,219.74,102,31.0
PROD-84922,Utilidades Domésticas,79.89,151.89,114,101.0
PROD-84923,Eletrônicos,127.38,170.4,6,116.0
PROD-84924,Alimentos e Bebidas,201.66,410.21,163,75.0
PROD-84925,Vestuário,252.4,526.29,610,42.0
PROD-84926,Vestuário,110.92,191.74,22,66.0
PROD-84927,Utilidades Domésticas,128.08,225.18,16,1.0
PROD-84928,Vestuário,63.72,99.54,336,21.0
PROD-84929,Alimentos e Bebidas,78.98,139.79,150,275.0
PROD-84930,Eletrônicos,196.86,390.02,34,267.0
PROD-84931,Vestuário,268.51,574.26,300,238.0
PROD-84932,Eletrônicos,55.93,86.0,24,207.0
PROD-84933,Alimentos e Bebidas,117.76,220.55,42,132.0
PROD-84934,Alimentos e Bebidas,244.61,421.5,37,137.0
PROD-84935,Vestuário,171.85,281.61,208,188.0
PROD-84936,Beleza e Perfumaria,188.57,356.7,18,186.0
PROD-84937,Vestuário,37.07,65.44,87,212.0
PROD-84938,Utilidades Domésticas,200.27,427.41,10,109.0
PROD-84939,Eletrônicos,274.89,584.35,225,25.0
PROD-84940,Utilidades Domésticas,140.91,300.93,33,61.0
PROD-84941,Alimentos e Bebidas,289.15,556.5,9,150.0
PROD-84942,Utilidades Domésticas,20.25,30.31,230,8.0
PROD-84943,Utilidades Domésticas,83.05,128.68,56,55.0
PROD-84944,Alimentos e Bebidas,272.33,507.5,375,59.0
PROD-84945,Vestuário,90.98,161.79,55,235.0
PROD-84946,Alimentos e Bebidas,277.18,378.02,429,15.0
PROD-84947,Utilidades Domésticas,181.68,350.34,713,145.0
PROD-84948,Alimentos e Bebidas,258.97,516.15,67,45.0
PROD-84949,Vestuário,146.91,219.8,35,19.0
PROD-84950,Eletrônicos,106.21,171.23,65,66.0
PROD-84951,Utilidades Domésticas,166.71,323.16,141,165.0
PROD-84952,Vestuário,180.64,277.78,537,92.0
PROD-84953,Eletrônicos,182.98,318.52,169,255.0
PROD-84954,Eletrônicos,220.31,415.91,19,101.0
PROD-84955,Utilidades Domésticas,73.14,106.87,335,220.0
PROD-84956,Alimentos e Bebidas,169.36,241.14,46,230.0
PROD-84957,Eletrônicos,126.73,183.04,375,144.0
PROD-84958,Alimentos e Bebidas,227.66,489.65,63,46.0
PROD-84959,Vestuário,187.45,358.81,10,104.0
PROD-84960,Vestuário,125.95,249.96,122,20.0
PROD-84961,Utilidades Domésticas,195.32,326.77,82,289.0
PROD-84962,Vestuário,260.84,481.25,29,176.0
PROD-84963,Eletrônicos,111.34,200.79,18,28.0
PROD-84964,Vestuário,103.23,205.52,195,271.0
PROD-84965,Vestuário,279.22,404.68,51,16.0
PROD-84966,Vestuário,40.61,56.03,347,260.0
PROD-84967,Utilidades Domésticas,172.8,234.42,615,68.0
PROD-84968,Utilidades Domésticas,160.26,287.31,14,265.0
PROD-84969,Vestuário,93.4,126.61,39,45.0
PROD-84970,Vestuário,110.1,220.44,198,117.0
PROD-84971,Alimentos e Bebidas,219.38,381.66,75,124.0
PROD-84972,Utilidades Domésticas,185.17,241.7,41,139.0
PROD-84973,Beleza e Perfumaria,223.99,446.07,366,8.0
PROD-84974,Vestuário,102.91,223.13,81,283.0
PROD-84975,Beleza e Perfumaria,64.17,83.47,5,42.0
PROD-84976,Vestuário,158.88,212.56,36,75.0
PROD-84977,Eletrônicos,273.2,406.49,42,214.0
PROD-84978,Utilidades Domésticas,177.26,376.13,88,233.0
PROD-84979,Alimentos e Bebidas,290.62,505.13,94,182.0
PROD-84980,Eletrônicos,185.98,399.89,116,216.0
PROD-84981,Eletrônicos,60.2,115.71,51,228.0
PROD-84982,Eletrônicos,235.66,423.25,90,227.0
PROD-84983,Vestuário,221.93,362.14,23,76.0
PROD-84984,Utilidades Domésticas,263.3,535.4,169,30.0
PROD-84985,Alimentos e Bebidas,287.88,376.47,14,253.0
PROD-84986,Beleza e Perfumaria,267.22,501.68,32,162.0
PROD-84987,Alimentos e Bebidas,22.21,46.78,366,115.0
PROD-84988,Eletrônicos,132.37,275.37,33,197.0
PROD-84989,Beleza e Perfumaria,257.06,561.04,284,17.0
PROD-84990,Alimentos e Bebidas,171.46,267.54,119,155.0
PROD-84991,Vestuário,27.89,39.84,492,28.0
PROD-84992,Vestuário,82.46,116.92,77,199.0
PROD-84993,Vestuário,168.16,243.92,190,217.0
PROD-84994,Beleza e Perfumaria,209.37,401.82,125,271.0
PROD-84995,Vestuário,53.53,98.08,83,151.0
PROD-84996,Alimentos e Bebidas,116.21,151.89,129,126.0
PROD-84997,Utilidades Domésticas,42.3,78.82,35,108.0
PROD-84998,Beleza e Perfumaria,217.61,322.45,73,159.0
PROD-84999,Eletrônicos,190.83,263.88,189,38.0
PROD-85000,Beleza e Perfumaria,176.95,249.86,15,118.0
PROD-85001,Eletrônicos,266.12,490.24,196,80.0
PROD-85002,Utilidades Domésticas,128.04,269.02,597,93.0
PROD-85003,Beleza e Perfumaria,278.51,440.43,266,34.0
PROD-85004,Alimentos e Bebidas,235.98,481.57,423,83.0
PROD-85005,Alimentos e Bebidas,147.69,294.74,35,231.0
PROD-85006,Alimentos e Bebidas,218.57,429.32,236,114.0
PROD-85007,Vestuário,263.64,456.31,201,139.0
PROD-85008,Vestuário,90.2,143.34,181,223.0
PROD-85009,Eletrônicos,43.83,57.15,21,187.0
PROD-85010,Utilidades Domésticas,26.53,54.19,66,174.0
PROD-85011,Alimentos e Bebidas,39.83,52.85,17,5.0
PROD-85012,Alimentos e Bebidas,183.31,280.62,20,252.0
PROD-85013,Vestuário,205.37,276.72,25,270.0
PROD-85014,Utilidades Domésticas,277.78,459.44,55,252.0
PROD-85015,Vestuário,193.31,264.93,101,115.0
PROD-85016,Eletrônicos,290.31,581.89,87,39.0
PROD-85017,Vestuário,262.89,356.48,118,231.0
PROD-85018,Utilidades Domésticas,29.89,58.86,32,57.0
PROD-85019,Utilidades Domésticas,185.13,340.3,435,29.0
PROD-85020,Beleza e Perfumaria,72.27,155.63,55,65.0
PROD-85021,Alimentos e Bebidas,198.54,350.67,26,22.0
PROD-85022,Beleza e Perfumaria,206.28,403.68,145,256.0
PROD-85023,Alimentos e Bebidas,254.29,515.27,104,212.0
PROD-85024,Vestuário,95.71,125.96,151,154.0
PROD-85025,Alimentos e Bebidas,240.3,326.43,76,186.0
PROD-85026,Utilidades Domésticas,222.2,443.02,53,116.0
PROD-85027,Utilidades Domésticas,35.53,77.16,345,234.0
PROD-85028,Vestuário,53.29,78.88,93,253.0
PROD-85029,Vestuário,63.22,135.23,37,263.0
PROD-85030,Alimentos e Bebidas,291.51,610.29,267,237.0
PROD-85031,Beleza e Perfumaria,214.82,330.3,99,165.0
PROD-85032,Vestuário,198.63,375.31,50,88.0
PROD-85033,Utilidades Domésticas,223.0,304.98,17,187.0
PROD-85034,Eletrônicos,98.01,133.33,9,116.0
PROD-85035,Beleza e Perfumaria,182.09,310.06,350,257.0
PROD-85036,Alimentos e Bebidas,60.47,122.88,61,268.0
PROD-85037,Eletrônicos,133.96,176.68,131,31.0
PROD-85038,Vestuário,273.67,539.15,55,117.0
PROD-85039,Beleza e Perfumaria,195.8,411.12,67,246.0
PROD-85040,Alimentos e Bebidas,206.96,332.09,152,8.0
PROD-85041,Alimentos e Bebidas,196.91,291.41,232,268.0
PROD-85042,Eletrônicos,246.88,454.46,35,127.0
PROD-85043,Eletrônicos,151.4,303.36,56,19.0
PROD-85044,Alimentos e Bebidas,33.91,57.16,65,6.0
PROD-85045,Utilidades Domésticas,261.97,399.02,284,103.0
PROD-85046,Utilidades Domésticas,152.63,330.46,118,81.0
PROD-85047,Alimentos e Bebidas,65.5,135.02,107,3.0
PROD-85048,Vestuário,167.43,288.2,43,140.0
PROD-85049,Alimentos e Bebidas,229.31,422.2,190,85.0
PROD-85050,Alimentos e Bebidas,126.86,189.22,291,19.0
PROD-85051,Eletrônicos,83.7,135.08,8,126.0
PROD-85052,Beleza e Perfumaria,145.05,218.81,31,247.0
PROD-85053,Alimentos e Bebidas,195.3,291.7,516,132.0
PROD-85054,Eletrônicos,109.94,228.43,73,188.0
PROD-85055,Beleza e Perfumaria,105.64,175.75,197,211.0
PROD-85056,Beleza e Perfumaria,294.05,550.9,259,260.0
PROD-85057,Beleza e Perfumaria,113.59,202.59,61,206.0
PROD-85058,Utilidades Domésticas,10.54,16.12,198,96.0
PROD-85059,Vestuário,136.61,270.57,131,56.0
PROD-85060,Beleza e Perfumaria,245.7,475.71,122,125.0
PROD-85061,Utilidades Domésticas,296.19,623.76,51,79.0
PROD-85062,Alimentos e Bebidas,48.82,75.0,12,7.0
PROD-85063,Beleza e Perfumaria,248.02,504.01,10,10.0
PROD-85064,Vestuário,240.46,485.46,273,97.0
PROD-85065,Beleza e Perfumaria,148.15,198.27,50,251.0
PROD-85066,Alimentos e Bebidas,217.5,320.33,343,116.0
PROD-85067,Alimentos e Bebidas,75.57,116.26,230,148.0
PROD-85068,Alimentos e Bebidas,71.44,137.81,63,33.0
PROD-85069,Utilidades Domésticas,136.62,181.11,168,6.0
PROD-85070,Vestuário,68.51,111.31,169,49.0
PROD-85071,Beleza e Perfumaria,251.87,356.51,163,50.0
PROD-85072,Eletrônicos,204.27,394.07,315,261.0
PROD-85073,Beleza e Perfumaria,193.13,298.35,126,85.0
PROD-85074,Alimentos e Bebidas,165.52,219.54,20,291.0
PROD-85075,Beleza e Perfumaria,227.71,401.41,288,22.0
PROD-85076,Vestuário,88.28,132.59,253,294.0
PROD-85077,Utilidades Domésticas,190.37,308.6,67,130.0
PROD-85078,Alimentos e Bebidas,243.46,316.58,125,195.0
PROD-85079,Utilidades Domésticas,241.48,488.39,59,12.0
PROD-85080,Vestuário,139.17,200.31,159,221.0
PROD-85081,Beleza e Perfumaria,72.91,95.25,205,40.0
PROD-85082,Beleza e Perfumaria,104.84,141.67,490,290.0
PROD-85083,Alimentos e Bebidas,223.7,420.15,13,115.0
PROD-85084,Vestuário,137.35,299.01,87,196.0
PROD-85085,Alimentos e Bebidas,158.2,278.09,35,82.0
PROD-85086,Vestuário,265.91,383.16,180,172.0
PROD-85087,Alimentos e Bebidas,280.88,554.99,89,248.0
PROD-85088,Utilidades Domésticas,6.47,9.23,136,205.0
PROD-85089,Vestuário,234.9,504.67,285,209.0
PROD-85090,Utilidades Domésticas,68.14,110.52,22,206.0
PROD-85091,Alimentos e Bebidas,23.48,43.7,170,276.0
PROD-85092,Vestuário,170.01,233.27,126,114.0
PROD-85093,Alimentos e Bebidas,59.38,115.97,142,188.0
PROD-85094,Utilidades Domésticas,115.96,189.03,44,121.0
PROD-85095,Alimentos e Bebidas,281.98,451.98,552,269.0
PROD-85096,Alimentos e Bebidas,150.98,273.64,64,113.0
PROD-85097,Utilidades Domésticas,154.89,332.87,47,158.0
PROD-85098,Eletrônicos,148.93,237.3,46,233.0
PROD-85099,Eletrônicos,10.04,18.82,181,33.0
PROD-85100,Eletrônicos,23.1,49.52,5,76.0
PROD-85101,Vestuário,118.88,243.55,116,204.0
PROD-85102,Utilidades Domésticas,250.49,348.47,127,188.0
PROD-85103,Vestuário,47.51,96.97,183,293.0
PROD-85104,Vestuário,286.27,415.76,48,271.0
PROD-85105,Alimentos e Bebidas,214.07,334.81,186,149.0
PROD-85106,Utilidades Domésticas,237.19,368.07,187,271.0
PROD-85107,Eletrônicos,30.81,54.09,58,159.0
PROD-85108,Vestuário,224.65,403.64,8,57.0
PROD-85109,Vestuário,189.19,285.59,101,69.0
PROD-85110,Alimentos e Bebidas,51.74,83.62,51,42.0
PROD-85111,Eletrônicos,91.47,147.75,35,279.0
PROD-85112,Utilidades Domésticas,180.46,396.54,50,166.0
PROD-85113,Vestuário,53.83,108.57,407,31.0
PROD-85114,Eletrônicos,279.57,538.83,126,206.0
PROD-85115,Beleza e Perfumaria,185.26,275.45,207,202.0
PROD-85116,Vestuário,198.19,376.41,172,187.0
PROD-85117,Alimentos e Bebidas,64.26,115.28,93,173.0
PROD-85118,Eletrônicos,200.5,350.42,71,34.0
PROD-85119,Alimentos e Bebidas,50.43,73.11,122,102.0
PROD-85120,Vestuário,221.0,467.79,51,243.0
PROD-85121,Utilidades Domésticas,141.14,214.62,172,294.0
PROD-85122,Utilidades Domésticas,295.58,395.28,45,52.0
PROD-85123,Alimentos e Bebidas,122.96,167.99,36,7.0
PROD-85124,Utilidades Domésticas,211.05,410.19,149,143.0
PROD-85125,Vestuário,100.02,182.37,102,295.0
PROD-85126,Alimentos e Bebidas,179.21,260.84,171,250.0
PROD-85127,Eletrônicos,41.65,63.83,51,222.0
PROD-85128,Eletrônicos,296.94,646.4,92,38.0
PROD-85129,Vestuário,174.09,243.5,65,121.0
PROD-85130,Utilidades Domésticas,76.85,126.56,407,201.0
PROD-85131,Alimentos e Bebidas,21.82,37.71,445,41.0
PROD-85132,Vestuário,142.33,208.12,45,185.0
PROD-85133,Beleza e Perfumaria,251.64,336.09,7,255.0
PROD-85134,Vestuário,143.17,234.64,44,260.0
PROD-85135,Alimentos e Bebidas,22.37,43.93,378,105.0
PROD-85136,Beleza e Perfumaria,20.14,32.01,85,185.0
PROD-85137,Eletrônicos,85.82,168.24,380,83.0
PROD-85138,Vestuário,53.4,90.06,245,6.0
PROD-85139,Alimentos e Bebidas,192.05,331.21,76,121.0
PROD-85140,Alimentos e Bebidas,5.18,7.33,186,60.0
PROD-85141,Eletrônicos,205.58,392.92,71,242.0
PROD-85142,Vestuário,57.06,85.92,116,292.0
PROD-85143,Vestuário,131.01,254.47,46,135.0
PROD-85144,Utilidades Domésticas,91.18,149.26,231,276.0
PROD-85145,Utilidades Domésticas,203.45,391.69,820,87.0
PROD-85146,Vestuário,237.37,398.14,80,277.0
PROD-85147,Vestuário,204.65,417.41,238,52.0
PROD-85148,Alimentos e Bebidas,283.19,460.83,360,53.0
PROD-85149,Eletrônicos,102.63,164.26,204,149.0
PROD-85150,Utilidades Domésticas,71.88,113.39,29,112.0
PROD-85151,Alimentos e Bebidas,164.84,267.98,150,141.0
PROD-85152,Vestuário,197.73,290.88,171,1.0
PROD-85153,Vestuário,185.27,396.98,176,4.0
PROD-85154,Beleza e Perfumaria,137.74,234.4,49,229.0
PROD-85155,Eletrônicos,80.38,164.57,143,232.0
PROD-85156,Eletrônicos,120.36,239.03,31,93.0
PROD-85157,Vestuário,24.04,38.96,249,163.0
PROD-85158,Eletrônicos,112.05,216.82,118,211.0
PROD-85159,Vestuário,182.08,290.38,161,116.0
PROD-85160,Utilidades Domésticas,142.69,284.65,70,93.0
PROD-85161,Alimentos e Bebidas,226.81,346.06,542,75.0
PROD-85162,Alimentos e Bebidas,219.48,318.32,81,195.0
PROD-85163,Vestuário,232.18,475.26,99,284.0
PROD-85164,Vestuário,96.1,154.84,50,106.0
PROD-85165,Beleza e Perfumaria,181.22,247.11,56,24.0
PROD-85166,Vestuário,25.79,47.47,409,49.0
PROD-85167,Beleza e Perfumaria,194.49,283.95,93,21.0
PROD-85168,Alimentos e Bebidas,6.65,11.12,159,54.0
PROD-85169,Alimentos e Bebidas,73.37,133.69,300,278.0
PROD-85170,Vestuário,226.11,395.47,36,127.0
PROD-85171,Alimentos e Bebidas,292.67,424.9,35,116.0
PROD-85172,Utilidades Domésticas,200.84,327.11,31,21.0
PROD-85173,Vestuário,80.14,157.04,28,269.0
PROD-85174,Eletrônicos,214.88,441.82,227,103.0
PROD-85175,Utilidades Domésticas,163.28,312.68,61,102.0
PROD-85176,Alimentos e Bebidas,129.99,284.17,20,130.0
PROD-85177,Alimentos e Bebidas,35.51,74.33,139,135.0
PROD-85178,Alimentos e Bebidas,104.54,225.84,144,254.0
PROD-85179,Alimentos e Bebidas,66.73,131.42,91,170.0
PROD-85180,Vestuário,284.42,487.32,77,174.0
PROD-85181,Eletrônicos,53.14,109.35,109,155.0
PROD-85182,Utilidades Domésticas,88.58,128.57,450,221.0
PROD-85183,Alimentos e Bebidas,106.01,176.56,99,62.0
PROD-85184,Utilidades Domésticas,101.75,182.65,17,206.0
PROD-85185,Beleza e Perfumaria,81.0,140.86,338,226.0
PROD-85186,Vestuário,106.78,200.9,469,158.0
PROD-85187,Utilidades Domésticas,155.4,340.03,75,164.0
PROD-85188,Beleza e Perfumaria,190.88,298.2,161,192.0
PROD-85189,Utilidades Domésticas,143.13,256.41,73,293.0
